questionText,options,correctAnswerText
海拔最高的山峰 ?,"K2峰,珠穆朗瑪峰,鄧布峰,尼泊爾白峰",珠穆朗瑪峰
海拔最低的山 ?,"日和山,半屏山,天保山,前東港山",日和山
最長的陸上山脈 ?,"喜馬拉雅山脈,崑崙山脈,安地斯山脈,中央山脈",安地斯山脈
最大的島嶼 ? ,"新幾內亞島,馬達加斯加,格陵蘭島,婆羅洲",格陵蘭島
最多島的國家 ?,"俄羅斯,加拿大,印度,印尼",印尼
最大的湖泊 ?,"裏海,貝加爾湖,死海,納木錯",裏海
最古老的湖泊 ?,"瑪旁雍錯,的的喀喀湖,蘇必略湖,貝加爾湖",貝加爾湖
最深的湖泊、淡水湖 ?,"納木錯,的的喀喀湖,蘇必略湖,貝加爾湖",貝加爾湖
海拔最低的湖泊 ? ,"裏海,貝加爾湖,死海,納木錯",死海
海拔最高的鹹水湖 ?,"瑪旁雍錯,的的喀喀湖,納木錯,貝加爾湖",納木錯
海拔最高的淡水湖 ?,"瑪旁雍錯,的的喀喀湖,蘇必略湖,貝加爾湖",瑪旁雍錯
最長的內流河 ?,"尼羅河,亞馬遜河,窩瓦河,密西西比河",窩瓦河
最長的河流 ?,"亞馬遜河,尼羅河,黃河,長江",尼羅河
流域面積最大的河流 ?,"亞馬遜河,剛果河,黃河,密西西比河",亞馬遜河
流經最多國家的河流 ? ,"湄公河,亞馬遜河,多瑙河,剛果河",多瑙河
最深的河流 ? ,"剛果河,亞馬遜河,密西西比河,尼羅河",剛果河
最大的洋 ?,"大西洋,太平洋,印度洋,北冰洋",太平洋
最小的洋 ? ,"南冰洋,北冰洋,印度洋,大西洋",北冰洋
最大的海 ?,"珊瑚海,波羅的海,愛琴海,地中海",珊瑚海
最鹹的海 ?,"珊瑚海,波羅的海,愛琴海,紅海",紅海
最淡的海 ?,"珊瑚海,波羅的海,愛琴海,白令海", 波羅的海
多島嶼的海 ?,"北海,波羅的海,愛琴海,紅海",愛琴海
面積最大的高原 ?,"蒙古高原,南極高原,青藏高原,東非高原",南極高原
海拔最高的高原 ?,"黃土高原,南極高原,青藏高原,巴西高原",青藏高原
最長的峽谷 ?,"大峽谷,雅魯藏布大峽谷,瞿塘峽,巫峽",雅魯藏布大峽谷
最深的峽谷 ?,"大峽谷,雅魯藏布大峽谷,瞿塘峽,西陵峽",雅魯藏布大峽谷
最長的海峽 ?,"莫三比克海峽,英吉利海峽,台灣海峽,白令海峽",莫三比克海峽
落差最大的瀑布 ?,"伊瓜蘇瀑布,天使瀑布,瓜伊拉瀑布,萊茵瀑布",天使瀑布
最大的平原 ?,"美索不達米雅平原,東歐平原,亞馬遜平原,北美大平原",亞馬遜平原
最低的盆地 ?,"柴達木盆地,吐魯番盆地,準噶爾盆地,塔里木盆地",吐魯番盆地
最大的沙漠 ?,"利比亞沙漠,戈壁大沙漠,約旦沙漠,奈米比沙漠",撒哈拉沙漠
最大的洲 ?,"非洲,歐洲,亞洲,北美洲", 亞洲
最小的洲 ?,"非洲,歐洲,大洋洲,南美洲",大洋洲
最深的海溝 ?,"日本海溝,菲律賓海溝,爪哇海溝,馬里亞納海溝",馬里亞納海溝
最早成立的國家公園 ?,"優勝美地國家公園,黃石國家公園,大峽谷國家公園,賽倫蓋蒂國家公園",黃石國家公園
最大的半島 ?,"阿拉伯半島,巴爾幹半島,西奈半島,朝鮮半島",阿拉伯半島
歷史上月降水量最多的地方 ?,"乞拉朋吉,阿齊濟耶,毛辛拉姆,阿里卡",乞拉朋吉
歷史上面積最大的國家 ?,"俄羅斯,蒙古帝國,羅馬帝國,大英帝國",大英帝國
現今面積最大的國家 ? ,"印度,美國,俄羅斯,加拿大",俄羅斯
人口最多的國家 ?,"印度,中國,印尼,美國",印度
人口密度最高的國家 ?,"台灣,摩納哥,香港,澳門",摩納哥
人口密度最低的國家 ?,"加拿大,俄羅斯,美國,蒙古",蒙古
平均海拔最高的國家 ?,"尼泊爾,秘魯,不丹,坦尚尼亞",不丹
平均海拔最低的國家 ?,"荷蘭,馬爾地夫,孟加拉,丹麥",荷蘭
人口最多的島嶼 ? ,"爪哇島,呂宋島,台灣,本州島",爪哇島
海拔最高的首都 ?,"墨西哥城,拉巴斯,波哥大,拉薩",拉巴斯
人口密度最高的城市 ?,"孟買,開羅,馬尼拉,紐約",馬尼拉
最北端的首都 ?,"雷克亞維克,斯德哥爾摩,赫爾辛基,奧斯陸",雷克亞維克
最早建成的運河 ?,"蘇伊士運河,小樽運河,威尼斯大運河,巴拿馬運河",蘇伊士運河
最高的建築物 ?,"上海中心大廈,默迪卡118,哈里發塔,樂天世界塔",哈里發塔
,,